"GRN","Title","Value(£)","Start","End",""
"EP/L014823/1","EPSRC Centre for Doctoral Training in Tissue Engineering and Regenerative Medicine; Innovation in Medical and Biological Engineering","3,334,696","01-04-2014","30-09-2022","Visualise"
"EP/L014904/1","EPSRC and MRC Centre for Doctoral Training in Regenerative Medicine","4,366,189","01-04-2014","30-09-2022","Visualise"
"EP/L015072/1","EPSRC and MRC Centre for Doctoral Training in Regenerative Medicine","3,529,512","01-10-2014","31-03-2023","Visualise"
"EP/L015277/1","EPSRC Centre for Doctoral Training in the Advanced Characterisation of Materials","4,227,196","01-05-2014","31-10-2022","Visualise"
"EP/L015595/1","EPSRC CDT in Medical Devices & Health Technologies","4,102,605","01-04-2014","30-09-2022","Visualise"
"EP/L016281/1","EPSRC Centre for Doctoral Training in Polymers, Soft Matter and Colloids","4,074,815","01-04-2014","30-09-2022","Visualise"
"EP/L016346/1","EPSRC Centre for Doctoral Training in Physical Sciences for Health (Sci-Phy-4-Health)","3,510,195","01-04-2014","30-09-2022","Visualise"
"EP/L016737/1","EPSRC Centre for Doctoral Training in Neurotechnology for Life and Health","4,164,295","01-04-2014","30-09-2022","Visualise"
"EP/L020599/1","Nanostructured Polymeric Materials for Healthcare","1,185,824","01-06-2014","31-03-2021","Visualise"
"EP/M002020/1","Theranostic doubly crosslinked microgels: From a new materials class to an injectable load supporting medical device","1,278,403","01-07-2015","30-10-2020","Visualise"
"EP/M002209/1","Engineering Fellowships for Growth: Building advanced materials to treat vision loss","1,232,981","01-08-2014","31-07-2020","Visualise"
"EP/M020460/1","Soft robotic technologies for next-generation bio-integrative medical devices","1,046,902","01-10-2015","30-09-2020","Visualise"
"EP/N006615/1","Next Generation Biomaterials Discovery","5,365,958","09-11-2015","08-05-2021","Visualise"
"EP/N00941X/1","Medical Technologies Innovation and Knowledge Centre Phase 2  Regenerative Devices","3,024,405","01-07-2015","30-06-2021","Visualise"
"EP/N019938/1","Development of a Comprehensive Toolkit for Optimised Tissue Regeneration: Scaffold DOCTR","1,402,267","01-07-2016","30-06-2021","Visualise"
"EP/N02074X/2","Wearable Organic Integrated Sensors for Healthcare: Smart Dressings, A Step Change in Wound Management","778,432","01-01-2017","28-02-2022","Visualise"
"EP/N021134/1","Palladium-activated prodrug therapy: a novel focal therapy for localised cancers of unmet need","1,074,212","01-04-2016","31-03-2021","Visualise"
"EP/N027000/1","Fast ASsessment and Treatment in Healthcare (FAST Healthcare)","628,709","01-08-2016","31-01-2021","Visualise"
"EP/N027264/1","Osteoarthritis Technology NetworkPlus (OATech+): a multidisciplinary approach to the prevention and treatment of osteoarthritis","968,486","01-10-2016","30-09-2021","Visualise"
"EP/P001076/1","Optimising knee therapies through improved population stratification and precision of the intervention","3,962,447","01-10-2016","30-09-2021","Visualise"
"EP/P001114/1","Engineering growth factor microenvironments - a new therapeutic paradigm for regenerative medicine","3,661,144","01-10-2016","30-09-2021","Visualise"
"EP/P00119X/1","2D Materials for Next Generation Healthcare Technologies (2D-Health)","5,327,896","01-10-2016","30-09-2021","Visualise"
"EP/P00301X/1","Influence of Surface Properties of New Biomaterials for Catheters on Bacterial Adhesion in Urine","501,310","01-12-2016","30-11-2020","Visualise"
"EP/P005381/1","Tackling human dental caries by multi-modal correlative microscopy and multi-physics modelling","1,768,953","01-01-2017","30-06-2021","Visualise"
"EP/P006485/1","FUTURE TARGETED HEALTHCARE MANUFACTURING HUB","10,317,090","01-01-2017","31-12-2023","Visualise"
"EP/P022235/1","Surface and Interface Toolkit for the Materials Chemistry Community","693,837","07-08-2017","31-12-2020","Visualise"
"EP/P02985X/1","Aluminium nitride - graphene dual-mode sensors for  cancer cell detection","1,158,109","01-01-2018","31-12-2020","Visualise"
"EP/P031137/2","MechAscan - A novel online mechanical assessment tool for manufacturing engineered tissues in regenerative medicine and drug discovery.","305,316","01-09-2018","31-01-2021","Visualise"
"EP/P031218/1","MechAscan - A novel online mechanical assessment tool for manufacturing engineered tissues in regenerative medicine and drug discovery","204,901","01-01-2018","31-12-2020","Visualise"
"EP/P031250/1","MechAscan - A novel on line mechanical assessment tool for manufacturing engineered tissues in regenerative medicine and drug discovery.","313,773","01-02-2018","31-01-2021","Visualise"
"EP/P03361X/1","Multi-Domain Self-Assembled Gels: From Multi-Component Materials to Spatial and Temporal Control of Multi-Component Biology","359,780","01-12-2017","31-01-2021","Visualise"
"EP/R00160X/1","Smart peripheral stents for the lower extremity: design, manufacturing, and evaluation","231,208","01-12-2017","30-11-2021","Visualise"
