"GRN","Title","Value(£)","Start","End",""
"EP/L014823/1","EPSRC Centre for Doctoral Training in Tissue Engineering and Regenerative Medicine; Innovation in Medical and Biological Engineering","3,334,696","01-04-2014","30-09-2022","Visualise"
"EP/L015293/1","EPSRC Centre for Doctoral Training in Future Autonomous and Robotic Systems - FARSCOPE","4,930,858","01-04-2014","30-09-2022","Visualise"
"EP/L015595/1","EPSRC CDT in Medical Devices & Health Technologies","4,102,605","01-04-2014","30-09-2022","Visualise"
"EP/L016737/1","EPSRC Centre for Doctoral Training in Neurotechnology for Life and Health","4,164,295","01-04-2014","30-09-2022","Visualise"
"EP/M020460/1","Soft robotic technologies for next-generation bio-integrative medical devices","1,046,902","01-10-2015","30-09-2020","Visualise"
"EP/M020975/1","Empowering Next Generation Implantable Neural Interfaces","1,016,559","01-08-2015","31-10-2020","Visualise"
"EP/M023281/1","Centre for the Analysis of Motion, Entertainment Research and Applications (CAMERA)","3,994,055","01-09-2015","28-02-2021","Visualise"
"EP/N00941X/1","Medical Technologies Innovation and Knowledge Centre Phase 2  Regenerative Devices","3,024,405","01-07-2015","30-06-2021","Visualise"
"EP/N02480X/1","Novel design analysis tools to increase precision and reduce variation in hip replacement performance","1,025,492","01-06-2016","31-05-2021","Visualise"
"EP/N027264/1","Osteoarthritis Technology NetworkPlus (OATech+): a multidisciplinary approach to the prevention and treatment of osteoarthritis","968,486","01-10-2016","30-09-2021","Visualise"
"EP/N027299/1","GetAMoveOn:transforming health through enabling mobility","923,685","01-06-2016","04-12-2020","Visualise"
"EP/P001076/1","Optimising knee therapies through improved population stratification and precision of the intervention","3,962,447","01-10-2016","30-09-2021","Visualise"
"EP/P015875/1","Detecting bladder volume and pressure from sacral nerve signals: the key to future artificial control","192,929","01-07-2017","31-03-2021","Visualise"
"EP/P015999/1","Detecting bladder volume and pressure from sacral nerve signals: the key to future artificial control","106,842","01-07-2017","31-03-2021","Visualise"
"EP/P018947/1","Detecting bladder volume and pressure from sacral nerve signals: the key to future artificial control","316,874","01-07-2017","31-03-2021","Visualise"
"EP/P025587/1","Inclusive Digital Content for People with Aphasia (INCA)","496,294","01-07-2017","30-09-2020","Visualise"
"EP/P025609/1","Enabling Ongoingness: Content Creation & Consumption in the New Digital Age","885,438","01-06-2017","30-06-2021","Visualise"
"EP/P030203/1","MMEAW: Modelling the MEchanics of Animal Whiskers","460,716","01-12-2017","30-11-2020","Visualise"
"EP/R003971/1","Enhanced surgical treatments for hip osteoarthritis","1,021,819","01-01-2018","31-12-2023","Visualise"
"EP/R004242/1","Sensorimotor Learning for Control of Prosthetic Limbs","1,028,683","01-02-2018","31-01-2023","Visualise"
"EP/R010722/1","Physiologically inspired simulation of sensorineural hearing loss","298,016","04-03-2018","30-06-2021","Visualise"
"EP/R013837/1","Shape sensing textile for orthotics - SmartSensOtics","744,204","01-02-2018","30-10-2021","Visualise"
"EP/R013985/1","Fit-for-purpose, affordable body-powered prostheses","1,412,730","01-02-2018","31-01-2022","Visualise"
"EP/R014213/1","A Step Change in LMIC Prosthetics Provision through Computer Aided Design, Actimetry and Database Technologies","909,511","01-02-2018","30-11-2021","Visualise"
"EP/R014248/1","Low cost through knee prostheses. TaKeuP","888,572","01-02-2018","31-01-2021","Visualise"
"EP/R024324/1","Shape memory bone and soft tissue fixations","904,074","02-07-2018","01-07-2021","Visualise"
"EP/R02961X/1","SoRo for Health: Implantable soft robotics for restoration of physiological function","1,895,192","01-06-2018","31-05-2023","Visualise"
"EP/R03124X/1","Neural oscillator network modelling of auditory stream segregation","173,945","01-10-2018","31-03-2021","Visualise"
"EP/R032602/1","Towards a multisensory hearing aid: Engineering synthetic audiovisual and audiotactile signals to aid hearing in noisy backgrounds","1,029,425","01-01-2019","31-12-2023","Visualise"
"EP/R033900/1","INTUIT: 'Interaction Design for Trusted Sharing of Personal Health Data to Live Well with HIV'","827,993","01-11-2018","30-04-2021","Visualise"
"EP/R035091/1","Personalised approach to restoration of arm function in people with high-level tetraplegia","386,808","01-11-2018","06-10-2019","Visualise"
"EP/R042721/1","Medical Device Prototype & Manufacture Unit","1,686,762","01-09-2018","31-08-2023","Visualise"
"EP/S001654/1","Advanced e-textiles for wearable therapeutics","487,020","29-06-2018","28-06-2021","Visualise"
"EP/S003509/1","Developing a humanoid bioreactor for tendon tissue engineering","1,195,269","01-01-2019","31-12-2023","Visualise"
"EP/S005927/1","Using artificial intelligence to share control of a powered-wheelchair between a wheelchair user and an intelligent sensor system.","465,563","03-12-2018","30-04-2022","Visualise"
"EP/S019219/1","REST: Reconfigurable lower limb Exoskeleton for effective Stroke Treatment in residential settings","1,065,414","01-04-2019","31-03-2022","Visualise"
"EP/S019790/1","REST: Reconfigurable lower limb Exoskeleton for effective Stroke Treatment in residential settings","412,534","01-04-2019","31-03-2022","Visualise"
"EP/S021752/1","Injury & Reconstruction Biomechanics Test Suite","1,281,963","01-04-2019","31-03-2024","Visualise"
"EP/S02249X/1","EPSRC Centre for Doctoral Training in Prosthetics & Orthotics","5,526,315","01-04-2019","30-09-2027","Visualise"
"EP/S022546/1","Evaluation of novel implant fixation technology with a new pre-clinical testing method","428,391","01-08-2019","31-07-2022","Visualise"
"EP/S023119/1","Understanding barriers to clinical adoption of total ankle replacement in the treatment of ankle osteoarthritis to develop future interventions","75,219","01-06-2019","30-11-2020","Visualise"
"EP/S024336/1","UKRI Centre for Doctoral Training in Artificial Intelligence for Medical Diagnosis and Care","5,946,225","01-04-2019","30-09-2027","Visualise"
"EP/S026096/1","FREEHAB: accessible, comfortable and adaptable wearable rehabilitation and assist devices","1,181,154","01-11-2019","31-10-2022","Visualise"
"EP/S02882X/1","Additive Manufacturing and 3D Printing in Clinical Practice","158,815","18-09-2019","17-03-2022","Visualise"
"EP/S030298/1","Challenges to Revolutionise Hearing Device Processing","200,474","01-10-2019","30-09-2024","Visualise"
"EP/S031308/1","Challenges To Revolutionise Hearing Device Processing","251,510","01-11-2019","31-10-2024","Visualise"
"EP/S031324/1","Challenges to Revolutionise Hearing Device Processing","287,990","01-11-2019","31-10-2024","Visualise"
"EP/S031448/1","Challenges to Revolutionise Hearing Device Processing","371,114","01-01-2020","31-12-2024","Visualise"
"EP/S032940/1","Frontier Engineering: Progression Grant in Modelling complex and partially identified engineering problems. Application to the musculoskeletal system.","757,886","01-09-2019","31-08-2021","Visualise"
"EP/S03580X/1","Environment and Listener Optimised Speech Processing for Hearing Enhancement in Real Situations (ELO-SPHERES)","554,977","01-10-2019","30-09-2022","Visualise"
"EP/S035842/1","Environment and Listener Optimised Speech Processing for Hearing Enhancement in Real Situations (ELO-SPHERES)","587,008","01-10-2019","30-09-2022","Visualise"
"EP/T008059/1","From Ultrastructure to Micromechanics: a New Perspective on Cartilage Function, Mechanotransduction and Ageing","248,925","01-04-2020","31-03-2022","Visualise"
"EP/T020792/1","emPOWER: in-body artificial muscles for physical augmentation, function restoration, patient empowerment and future healthcare","6,142,805","01-09-2020","31-08-2025","Visualise"
"EP/T020970/1","NON-INVASIVE SINGLE NEURON ELECTRICAL MONITORING (NISNEM Technology)","5,593,021","01-08-2020","31-07-2025","Visualise"
"EP/T021063/1","COG-MHEAR: Towards cognitively-inspired 5G-IoT enabled, multi-modal Hearing Aids","3,259,000","01-06-2020","31-05-2024","Visualise"
"EP/T022523/1","CAMERA 2.0","3,401,654","01-05-2020","30-04-2025","Visualise"
"EP/T024372/1","Cardiff University - EPSRC Capital Award for Core Equipment","400,000","29-11-2019","28-05-2021","Visualise"
"EP/T025611/1","Queen's University Belfast Core Equipment Call 2019","150,000","13-02-2020","12-08-2021","Visualise"
"EP/T027746/1","Automatic Posture and Balance Support for Supernumerary Robotic Limbs","373,313","01-07-2020","30-06-2023","Visualise"
"NS/A000026/1","Controlling Abnormal Network Dynamics with Optogenetics (CANDO)","4,980,966","01-05-2014","30-04-2021","Visualise"
