"GRN","Title","Value(£)","Start","End",""
"EP/N017846/1","The Parameter Optimisation Problem: Addressing a Key Challenge in Computational Systems Biology","599,739","04-07-2016","03-08-2020","Visualise"
"EP/N020774/1","Machine Learning for Patient-Specific, Predictive Healthcare Technologies via Intelligent Electronic Health Records","1,009,768","01-06-2016","31-05-2022","Visualise"
"EP/N031962/1","Synthetic Portabolomics: Leading the way at the crossroads of the Digital and the Bio Economies","4,353,851","12-05-2016","31-03-2022","Visualise"
"EP/R022925/1","ACTION on cancer","901,730","01-04-2018","30-04-2020","Visualise"
"EP/R022941/1","ACTION on Cancer","476,570","07-11-2018","06-11-2022","Visualise"
"EP/R034915/1","A semi-autonomous robot synthetic biologist for industrial biodesign and manufacturing","884,199","01-09-2018","31-08-2021","Visualise"
"EP/S00128X/1","Automatic disease detection and monitoring in calves","609,617","01-06-2018","31-05-2021","Visualise"
"EP/S001360/2","CoED: Deep reinforcement learning for improving research productivity in the life science sector.","229,690","30-09-2019","29-06-2021","Visualise"
"EP/S001549/1","A Low-Cost Batteryless Wireless Dosage Sensor for Implantable Drug Delivery","583,239","25-06-2018","24-06-2021","Visualise"
"EP/S032843/1","Neuromorphic memristive circuits to simulate inhibitory and excitatory dynamics of neuron networks: from physiological similarities to deep learning","965,568","06-01-2020","05-01-2023","Visualise"
"EP/T024593/1","Smart Environments Research Facility","99,665","10-01-2020","09-07-2021","Visualise"
"NS/A000050/1","Wellcome EPSRC Centre for Surgical and Interventional Sciences","6,565,143","01-05-2017","30-04-2022","Visualise"
