"GRN","Title","Value(£)","Start","End",""
"EP/L015498/1","EPSRC Centre for Doctoral Training in Physical Sciences Innovation in Chemical Biology for Bioindustry and Healthcare","4,617,554","01-04-2014","30-09-2022","Visualise"
"EP/L015838/1","EPSRC Centre for Doctoral Training in Synthesis for Biology and Medicine","4,821,770","01-04-2014","30-09-2022","Visualise"
"EP/L016044/1","EPSRC and MRC Centre for Doctoral Training in Systems Approaches to Biomedical Science","3,554,745","06-10-2014","05-04-2023","Visualise"
"EP/L016346/1","EPSRC Centre for Doctoral Training in Physical Sciences for Health (Sci-Phy-4-Health)","3,510,195","01-04-2014","30-09-2022","Visualise"
"EP/N013573/1","Integrated computational and synthetic tools to drive the discovery of orthosteric protein-protein interaction inhibitors","2,751,527","01-02-2016","31-01-2021","Visualise"
"EP/N020901/1","Enzymatic tools for biotechnology and medicine","1,000,807","01-06-2016","31-05-2021","Visualise"
"EP/N021134/1","Palladium-activated prodrug therapy: a novel focal therapy for localised cancers of unmet need","1,074,212","01-04-2016","31-03-2021","Visualise"
"EP/N025652/1","Autonomous Discovery of Functional Small Molecules","1,245,808","01-10-2016","30-09-2021","Visualise"
"EP/N033140/1","Nanoscale metallomics and mineralization: advanced spectro-microscopy determination of the role of iron and calcium in Alzheimer's disease","337,549","03-01-2017","31-12-2020","Visualise"
"EP/N033191/1","Nanoscale metallomics and mineralization: advanced spectro-microscopy determination of the role of iron and calcium in Alzheimer's disease","418,210","13-02-2017","31-12-2020","Visualise"
"EP/N033647/1","Structural Dynamics in LOV Domain Photosensor Proteins","352,953","01-10-2016","13-07-2020","Visualise"
"EP/N035267/1","Designer Chemistry to Probe Supramolecular Assembly Mechanism and Function","458,233","01-12-2016","31-05-2021","Visualise"
"EP/P008224/1","PET Markers of Oligomeric Misfolded Proteins in Neurodegenerative Disorders","1,041,821","01-01-2017","31-12-2020","Visualise"
"EP/P010075/1","Synthesis and characterisation of DNA adducts derived from the bracken toxin ptaquiloside.","354,312","01-04-2017","30-09-2020","Visualise"
"EP/P011330/1","Efficient modelling and validation of cryptic protein binding sites for drug discovery","198,251","01-07-2017","30-11-2020","Visualise"
"EP/P011993/1","Cloud-based methods to predict the druggability of protein-protein interactions: applications to cancer and antimicrobial resistance.","293,994","01-05-2017","23-04-2021","Visualise"
"EP/P016499/1","Software for experimentally driven macromolecular modelling","687,453","01-07-2017","30-06-2022","Visualise"
"EP/P020291/1","Diversity-Oriented Synthesis of Stapled Peptides","1,205,345","01-12-2017","30-11-2020","Visualise"
"EP/P025013/1","Lanthanide complexes as chiral probes and labels","582,868","01-08-2017","31-12-2020","Visualise"
"EP/P026990/1","Poised Fragment Libraries for Atypical Bromodomain Inhibition","428,829","30-10-2017","29-10-2020","Visualise"
"EP/P027571/1","Sensors for clean water: a participatory approach for technology innovation","1,182,012","01-05-2017","30-06-2021","Visualise"
"EP/P032036/1","Triple Imaging with PARASHIFT Probes","370,028","01-09-2017","31-12-2020","Visualise"
"EP/P032184/1","Triple Imaging with PARASHIFT Probes","238,021","01-11-2017","31-10-2020","Visualise"
"EP/R002584/1","Controlling membrane translocation for artificial signal transduction","356,411","01-01-2018","31-12-2020","Visualise"
"EP/R004722/1","Hydrophobic Gating in Membrane Nanopores: Water at the Nanoscale","379,691","13-11-2017","12-11-2020","Visualise"
"EP/R005257/1","EPSRC IRC Proteus - Multiplexed 'Touch and Tell' Optical Molecular Sensing and Imaging - Lifetime and Beyond","3,852,992","01-01-2019","31-12-2022","Visualise"
"EP/R005397/1","Controlling Membrane Translocation for Artificial Signal Transduction","405,953","01-01-2018","31-12-2020","Visualise"
"EP/R008973/1","Expanding the biochemical toolbox for protein modification at cysteine","375,298","01-03-2018","28-02-2021","Visualise"
"EP/R013799/1","Partially fluorinated alkyl motifs for pharmaceuticals and agrochemicals research","424,425","07-04-2018","01-04-2021","Visualise"
"EP/R014000/1","LCVD: Low-cost Cell-extract Viral Diagnostics","1,541,002","01-02-2018","31-01-2021","Visualise"
"EP/R018367/1","A new tool to support drug discovery: Native LESA mass spectrometry (NESA)","411,030","01-04-2018","31-03-2021","Visualise"
"EP/R024839/1","Injectable devices for sustained ocular drug delivery","838,666","01-10-2018","30-09-2021","Visualise"
"EP/R025355/1","FINESSE NanoBio (Fabrication and Imaging of Neon-Etched Structures and Surfaces for Engineering, Nanoscience and Biotechnology)","2,427,240","19-02-2018","30-09-2020","Visualise"
"EP/R029407/1","The UK High-End Computing Consortium for Biomolecular Simulation","321,432","01-02-2019","31-01-2023","Visualise"
"EP/R029687/1","Structural dynamics and photoinduced electron transfer","649,756","19-11-2018","18-11-2021","Visualise"
"EP/R029768/1","Enhancing 800 MHz NMR Capabilities at Nottingham","965,910","01-05-2018","30-04-2021","Visualise"
"EP/R029849/1","A Coordinated Infrastructure for NMR for the Physical and Life Sciences: Upgrade to the Ultra-high Field 950 MHz Spectrometer at Oxford","477,380","01-05-2018","30-04-2021","Visualise"
"EP/R029946/1","Solid-State NMR at 1.0 GHz: A World-Leading UK Facility to Deliver Advances in Chemistry, Biology and Materials Science","7,889,144","01-05-2018","30-04-2021","Visualise"
"EP/R029997/1","A Coordinated Infrastructure for NMR in the Physical and Life Sciences: Upgrade of the Leicester 800MHz NMR for Structural Biology and Drug Discovery","928,156","01-05-2018","30-04-2021","Visualise"
"EP/R030030/1","A Coordinated Infrastructure for NMR in the Physical and Life Sciences: A 1 GHz Spectrometer at Birmingham","6,558,752","01-05-2018","30-04-2021","Visualise"
"EP/R030065/1","A National Network for Applications of High-Field NMR in the Life and Physical Sciences","1,368,030","01-05-2018","30-04-2021","Visualise"
"EP/R031118/1","Ion Beam Analysis for the 2020's and Beyond: An Integration of Elemental Mapping and 'omics'","1,025,483","01-10-2018","21-04-2024","Visualise"
"EP/R034621/1","Site-selective antibody modification by cysteine-to-lysine transfer (CLT)","411,777","16-07-2018","15-07-2021","Visualise"
"EP/R042357/1","Switching On and Powering Molecular Machines: Ultrafast Dynamics of Photoswitches","362,388","01-08-2018","27-01-2022","Visualise"
"EP/R045305/1","Property-Enhanced Porphyrins","379,306","01-11-2018","31-01-2022","Visualise"
"EP/S002103/1","Singlet Fission in Carotenoid Aggregates (SIFICA)","851,312","01-01-2019","31-12-2021","Visualise"
"EP/S002766/1","Singlet Fission in Carotenoid Aggregates (SIFICA)","294,636","01-01-2019","31-12-2021","Visualise"
"EP/S002979/1","NAMS: Native ambient mass spectrometry","1,241,472","01-06-2019","31-05-2022","Visualise"
"EP/S003339/1","Exploration of Linking Chemistry in the Design of Aptamer-Molecularly Imprinted Polymer Hybrids (aptaMIPs)","296,003","01-10-2019","30-09-2021","Visualise"
"EP/S005544/1","Immuno-chemotherapeutic Metal Complexes for Cancer Stem Cell-Directed Therapy","217,731","01-08-2019","31-01-2022","Visualise"
"EP/S010289/1","Bioorthogonal Gold Chemistry to Explore Novel Biomedical Applications","513,211","01-10-2018","31-03-2021","Visualise"
"EP/S013172/1","New Directions in Bioisostere Research","572,767","01-01-2019","30-06-2023","Visualise"
"EP/S013393/1","Very-High Field NMR in the Physical and Life Sciences at the University of Liverpool","1,277,656","01-05-2018","31-12-2020","Visualise"
"EP/S013741/1","Modify-catch-release-repeat: Reversible bioconjugations for controlled release of small molecules from antibodies and their fragments","397,840","01-01-2019","31-12-2021","Visualise"
"EP/S015892/1","One size fits all: The semi-synthesis of new undecaprenol analogues for the study of multiple undecaprenyl-processing enzymes","215,788","02-01-2019","01-01-2021","Visualise"
"EP/S019901/1","Chemical biology tools for investigating the chemistry of cellular REDOX stress","5,334,387","01-10-2019","30-09-2024","Visualise"
"EP/S019944/1","CRISPR Chemistry","254,184","16-04-2019","15-04-2021","Visualise"
"EP/S020357/1","An EPSRC National Research Facility to facilitate Data Science in the Physical Sciences: The Physical Sciences Data science Service (PSDS)","2,996,067","11-01-2019","10-01-2024","Visualise"
"EP/S020799/1","New Reagents for Protein Modification","195,281","01-07-2019","31-12-2020","Visualise"
"EP/S022104/1","EPSRC Centre for Doctoral Training in Smart Medical Imaging at King's College London and Imperial College London","6,022,394","01-10-2019","31-03-2028","Visualise"
"EP/S022791/1","EPSRC Centre for Doctoral Training in Molecular Sciences for Medicine","7,291,056","01-05-2019","31-10-2027","Visualise"
"EP/S022856/1","EPSRC Centre for Doctoral Training in BioDesign Engineering","7,001,623","01-04-2019","30-09-2027","Visualise"
"EP/S023518/1","EPSRC Centre for Doctoral Training in Chemical Biology - Innovation for the Life Sciences","6,101,667","01-10-2019","31-03-2028","Visualise"
"EP/S024093/1","EPSRC CDT in Sustainable Approaches to Biomedical Science: Responsible and Reproducible Research -  SABS:R^3","5,348,003","01-10-2019","31-03-2028","Visualise"
"EP/S024107/1","EPSRC Centre for Doctoral Training in Technology Enhanced Chemical Synthesis","6,610,129","01-10-2019","31-03-2028","Visualise"
"EP/S024220/1","EPSRC Centre for Doctoral Training in Automated Chemical Synthesis Enabled by Digital Molecular Technologies","6,229,128","01-06-2019","30-11-2027","Visualise"
"EP/S026215/1","Bio-Inspired Fluorescent Carbon Dots as Probes for Rapid Detection of Bacteria in Physiological Samples","905,400","01-10-2019","30-09-2023","Visualise"
"EP/S028323/1","Site-selective functionalisation of peptides and proteins via free-radical-induced dechalcogenation","428,349","01-09-2019","31-08-2022","Visualise"
"EP/S028722/1","Supramolecular Designs on Dynamic Covalent Protein Recognition","244,859","12-08-2019","11-08-2021","Visualise"
"EP/S029168/1","Meta-Smart: Merging de novo designed biomolecules with plasmonic metamaterials for new technologies","1,022,161","01-08-2019","31-07-2023","Visualise"
"EP/S030336/1","Tripping the light fantastic: elucidating global protein structural change correlated with chemical change across the femtosecond to second timescale","1,419,928","01-10-2019","30-09-2024","Visualise"
"EP/S030492/1","Chemical Tools for Probing Histone Deacetylase Multiprotein Complexes in Disease","246,269","06-01-2020","06-07-2022","Visualise"
"EP/S030506/1","Properties and applications of Janus faced fluorocyclohexanes","482,983","01-12-2019","30-11-2022","Visualise"
"EP/S031766/1","Chemical probes to decode the subcellular redox-regulated proteome","277,691","19-08-2019","18-08-2021","Visualise"
"EP/S032339/1","Luminescent Host Molecules for Multisite Recognition of Polyphosphate Anions","247,277","01-01-2020","31-12-2021","Visualise"
"EP/S032789/1","Next generation molecular imaging and therapy with radionuclides","6,437,106","01-10-2019","30-09-2024","Visualise"
"EP/S033394/1","Aberration-Corrected Scanning Transmission Electron Microscope with atomic resolution spectroscopy under controlled environmental conditions: AC-eSTEM","3,250,534","01-11-2019","31-10-2024","Visualise"
"EP/S033912/1","A Protein Functionalization Platform Based on Selective Modification at Methionine Residues","1,892,760","01-01-2020","31-12-2024","Visualise"
"EP/S035958/1","Connect NMR UK: A National NMR Network for the Physical and Life Sciences","344,249","01-10-2019","30-09-2022","Visualise"
