"GRN","Title","Value(£)","Start","End",""
"EP/L015110/1","EPSRC Centre for Doctoral Training in Condensed Matter Physics: Renewal of the CM-DTC","3,992,129","01-08-2014","31-01-2023","Visualise"
"EP/L015536/1","EPSRC Centre for Doctoral Training in Soft Matter and Functional Interfaces","4,807,565","01-04-2014","30-09-2022","Visualise"
"EP/L015854/1","EPSRC Centre for Doctoral Training in Cross-Disciplinary Approaches to Non-Equilibrium Systems","3,875,307","01-05-2014","31-10-2022","Visualise"
"EP/L016281/1","EPSRC Centre for Doctoral Training in Polymers, Soft Matter and Colloids","4,074,815","01-04-2014","30-09-2022","Visualise"
"EP/M022609/1","CCP-BioSim: Biomolecular Simulation at the Life Sciences Interface","235,706","01-07-2015","31-10-2020","Visualise"
"EP/N008065/1","SEE MORE: SECONDARY ELECTRON EMISSION - MICROSCOPY FOR ORGANICS WITH RELIABLE ENGINEERING-PROPERTIES","1,004,316","01-02-2016","31-01-2021","Visualise"
"EP/N008154/1","Redrawing the boundaries: new approaches to many-body open quantum systems","866,380","01-02-2016","31-01-2021","Visualise"
"EP/N018591/1","Sustainable RSE Careers for Sustainable Software Development","488,453","04-07-2016","03-07-2021","Visualise"
"EP/N019180/2","EPSRC Research Software Engineer Fellowship Oliver Henrich","409,704","01-07-2017","31-07-2021","Visualise"
"EP/N021096/1","Rapid Sperm Capture","958,032","01-07-2016","30-06-2021","Visualise"
"EP/N024796/1","Enabling rapid liquid and freeze-dried formulation design for the manufacture and delivery of novel biopharmaceuticals","861,317","22-07-2016","21-07-2021","Visualise"
"EP/N025105/1","Enabling rapid liquid and freeze-dried formulation design for the manufacture and delivery of novel biopharmaceuticals","1,519,555","01-07-2016","30-06-2021","Visualise"
"EP/N025245/1","Evaporative Drying of Droplets and the Formation of Micro-structured and Functional Particles and Films","2,270,296","01-10-2016","31-03-2021","Visualise"
"EP/N026322/1","Personalised nanomedicine for cancer therapy","1,488,629","01-09-2016","31-08-2021","Visualise"
"EP/N027639/1","Programming DNA topology: from folding DNA minicircles to revealing the spatial organization of bacterial genomes","612,742","01-07-2016","30-06-2021","Visualise"
"EP/N031431/2","Physics of Life - Noise, Information and Evolution in Protein Binding","1,212,195","01-02-2018","31-01-2023","Visualise"
"EP/P00122X/1","3D Volume Microscopy and TEM Sample Preparation of Complex Hybrid Nanostructures","823,184","01-08-2016","31-07-2020","Visualise"
"EP/P001556/1","Multifunctional Scanning Microscopy","811,642","01-11-2016","31-10-2020","Visualise"
"EP/P005381/1","Tackling human dental caries by multi-modal correlative microscopy and multi-physics modelling","1,768,953","01-01-2017","30-06-2021","Visualise"
"EP/P007864/1","Molecular Migration in Complex Matrices: Towards Predictive Design of Structured Products","1,034,684","30-06-2017","29-06-2021","Visualise"
"EP/P011330/1","Efficient modelling and validation of cryptic protein binding sites for drug discovery","198,251","01-07-2017","30-11-2020","Visualise"
"EP/P013651/1","Modelling sperm-mucus interactions across scales","694,462","01-04-2017","04-08-2021","Visualise"
"EP/P015611/1","Quasicrystals: how and why do they form?","49,502","01-09-2017","28-02-2021","Visualise"
"EP/P015689/1","Quasicrystals: how and why do they form?","293,504","21-08-2017","20-02-2021","Visualise"
"EP/P015751/1","Liquid Antennas","587,311","01-06-2017","28-02-2021","Visualise"
"EP/P016677/1","Computing with Liquid Marbles","727,811","01-06-2017","31-01-2021","Visualise"
"EP/P022030/1","Support for the UKCP consortium","11,378","01-04-2017","31-03-2021","Visualise"
"EP/P022057/1","Support for the UKCP consortium","13,828","01-04-2017","31-03-2021","Visualise"
"EP/P022065/1","Support for the UKCP consortium","20,078","01-04-2017","31-03-2021","Visualise"
"EP/P022103/1","Support for the UKCP consortium","27,281","01-04-2017","31-03-2021","Visualise"
"EP/P022189/2","Support for the UKCP consortium","6,500","01-08-2018","31-03-2021","Visualise"
"EP/P022235/1","Surface and Interface Toolkit for the Materials Chemistry Community","693,837","07-08-2017","31-12-2020","Visualise"
"EP/P022472/1","Support for the UKCP consortium","9,987","01-04-2017","31-03-2021","Visualise"
"EP/P022480/1","Support for the UKCP consortium","12,196","01-04-2017","31-03-2021","Visualise"
"EP/P022561/1","Support for the UKCP consortium","471,671","01-04-2017","30-06-2021","Visualise"
"EP/P022596/1","Support for the UKCP consortium","58,027","01-04-2017","31-03-2021","Visualise"
"EP/P022618/1","Support for the UKCP consortium","8,928","01-04-2017","31-03-2021","Visualise"
"EP/P022626/1","Support for the UKCP consortium","26,319","01-04-2017","31-03-2021","Visualise"
"EP/P022782/1","Support for the UKCP consortium","11,336","01-04-2017","31-03-2021","Visualise"
"EP/P022790/1","Support for the UKCP consortium","23,625","01-04-2017","31-03-2021","Visualise"
"EP/P02288X/1","Exploiting Engineered Polyproteins in the Modular Design of Robust, Tuneable and Biofunctional Hydrogels","1,295,754","01-03-2018","31-01-2024","Visualise"
"EP/P023118/1","Support for the UKCP consortium","34,659","01-04-2017","31-03-2021","Visualise"
"EP/P024041/1","LC2 droplet biosensors: Lipid-coated Liquid Crystal Droplets as Highly Sensitive, Selective Sensors of Bacterial Toxins and other Bio-active Molecule","822,989","01-06-2017","30-11-2020","Visualise"
"EP/P030017/1","Resonant and shaped photonics for understanding the physical and biomedical world","5,023,462","01-08-2017","31-07-2022","Visualise"
"EP/P03361X/1","Multi-Domain Self-Assembled Gels: From Multi-Component Materials to Spatial and Temporal Control of Multi-Component Biology","359,780","01-12-2017","31-01-2021","Visualise"
"EP/P034063/1","Nanoengineered microneedle arrays for enhanced plasmonic photothermal therapy of basal cell carcinoma.","821,430","01-11-2017","30-06-2021","Visualise"
"EP/P034616/1","Cambridge Theory of Condensed Matter Group -Critical Mass Grant","2,023,484","01-10-2017","30-09-2021","Visualise"
"EP/R004722/1","Hydrophobic Gating in Membrane Nanopores: Water at the Nanoscale","379,691","13-11-2017","12-11-2020","Visualise"
"EP/R004854/1","M Squared - St Andrews Biophotonics Nexus","1,434,010","01-11-2017","31-10-2022","Visualise"
"EP/R020965/1","Raman Nanotheranostics - RaNT - developing the targeted diagnostics and therapeutics of the future by combining light and functionalised nanoparticles","5,752,646","01-01-2018","30-06-2023","Visualise"
"EP/R021058/1","Quantum Dynamics of Radical Pairs Reactions in Membranes: Elucidating Magnetic Field Effects in Lipid Autoxidation","101,061","01-05-2018","31-07-2020","Visualise"
"EP/R024421/1","Stiction-Free and Tuneable Nano-Electro-Mechanical Systems Incorporating Liquid Crystals","783,222","01-07-2018","31-10-2021","Visualise"
"EP/R029822/1","Physics of Bacterial Growth Control and Antibiotic Resistance","216,297","31-07-2018","30-07-2020","Visualise"
"EP/R029849/1","A Coordinated Infrastructure for NMR for the Physical and Life Sciences: Upgrade to the Ultra-high Field 950 MHz Spectrometer at Oxford","477,380","01-05-2018","30-04-2021","Visualise"
"EP/R030030/1","A Coordinated Infrastructure for NMR in the Physical and Life Sciences: A 1 GHz Spectrometer at Birmingham","6,558,752","01-05-2018","30-04-2021","Visualise"
"EP/R030065/1","A National Network for Applications of High-Field NMR in the Life and Physical Sciences","1,368,030","01-05-2018","30-04-2021","Visualise"
"EP/R031428/1","An Optical Single Molecule Scanner of Protein Motion","1,571,018","01-11-2018","31-10-2023","Visualise"
"EP/R035067/1","Experiencing the micro-world - a cell's perspective","79,810","01-08-2018","31-07-2021","Visualise"
"EP/R035156/1","Experiencing the micro-world - a cell's perspective","293,057","01-08-2018","31-01-2022","Visualise"
"EP/R035563/1","Experiencing the micro-world - a cell's perspective","600,756","01-08-2018","04-05-2022","Visualise"
"EP/R035571/1","Combined LAPS and SICM for multimodal live cell imaging","571,840","01-09-2018","31-08-2022","Visualise"
"EP/R035598/1","Combined LAPS and SICM for multimodal live cell imaging","120,946","01-09-2018","31-08-2021","Visualise"
"EP/R03608X/1","An integrated biophysics approach towards realisation of a new class of membrane-active anticancer therapies","906,288","01-10-2018","31-03-2022","Visualise"
"EP/R036837/1","Dynamic Dewetting: Designing and Breaking Novel Morphologies of Liquid Films","346,666","26-11-2018","25-11-2021","Visualise"
