"GRN","Title","Value(£)","Start","End",""
"EP/L015102/1","EPSRC Centre for Doctoral Training in Composites Manufacture","3,736,096","01-04-2014","30-09-2022","Visualise"
"EP/L016028/1","EPSRC Centre for Doctoral Training in Advanced Composites for Innovation and Science","4,859,444","01-04-2014","30-09-2022","Visualise"
"EP/L017679/1","Manufacturing of High Performance Cellulose Fibres to Replace Glass fibres & Carbon Fibre Precursors","2,060,466","01-07-2014","30-09-2020","Visualise"
"EP/M013170/1","Structural Efficiency and Multi-Functionality of Well-Behaved Nonlinear Composite Structures","866,291","01-04-2015","31-08-2020","Visualise"
"EP/M015130/1","Manufacturing and Application of Next Generation Chalcogenides","2,508,176","01-02-2015","31-01-2021","Visualise"
"EP/N010345/1","Engineering van der Waals heterostructures: from atomic level layer-by-layer assembly to printable innovative devices","4,056,135","13-03-2016","12-03-2021","Visualise"
"EP/N019040/1","Research Software Engineering Fellowship - Software for Textile Modelling and Simulation","384,850","01-01-2016","31-12-2020","Visualise"
"EP/P005284/1","An integrated (ICME) approach to multiscale modelling of the fabrication and joining of powder processed parts","1,003,550","01-12-2016","30-11-2020","Visualise"
"EP/P006701/1","THE FUTURE COMPOSITES MANUFACTURING HUB","10,296,792","01-01-2017","31-12-2023","Visualise"
"EP/P007465/1","Beyond structural; multifunctional composites that store electrical energy","836,406","01-02-2017","31-01-2021","Visualise"
"EP/P021328/1","2-D forming of low cost steered fibre laminates","33,009","01-10-2017","30-09-2020","Visualise"
"EP/P021379/1","2-D forming of low cost steered fibre laminates.","28,492","01-10-2017","31-03-2021","Visualise"
"EP/P021573/1","2-D Forming of Low Cost Steered Fibre Laminates","383,551","01-10-2017","30-09-2020","Visualise"
"EP/P027350/1","SIMulation of new manufacturing PROcesses for Composite Structures (SIMPROCS)","1,115,703","01-05-2017","30-04-2022","Visualise"
"EP/P027393/1","High Performance Discontinuous Fibre Composites - a sustainable route to the next generation of composites","1,036,426","03-12-2017","02-12-2020","Visualise"
"EP/P027555/1","H2 Manufacturing: Hybrid-Hybrid machining of next generation aerospace materials","396,115","01-10-2017","30-09-2021","Visualise"
"EP/P027563/1","H2 Manufacturing: Hybrid-Hybrid machining of next generation aerospace materials","320,230","01-10-2017","30-09-2021","Visualise"
"EP/P027652/1","H2 Manufacturing: Hybrid-Hybrid machining of next generation aerospace materials","261,023","01-07-2017","30-06-2021","Visualise"
"EP/P029914/1","High Five: Resolution, Sensitivity, in operando Control, Ultra High Vacuum and Ion Sectioning in a Single Instrument","1,802,539","13-09-2017","12-09-2020","Visualise"
"EP/P029922/1","Structural Composites Research Facility (SCRF)","1,399,781","01-06-2017","30-11-2020","Visualise"
"EP/R00661X/1","Sir Henry Royce Institute - recurrent grant","31,477,552","01-04-2016","31-03-2021","Visualise"
"EP/R022518/1","Soft Processing to Enable the Low Impact, Sustainable Manufacture of Inorganic Materials and Advanced Inorganic Semiconductor Composites","474,388","29-03-2018","28-03-2021","Visualise"
"EP/R029431/1","HIGH END COMPUTING MATERIALS CHEMISTRY CONSORTIUM","489,316","01-11-2018","31-10-2022","Visualise"
"EP/R031738/1","E-textiles Network","131,136","01-08-2018","31-07-2021","Visualise"
"EP/R041504/1","Development of a Novel Self-Healing Composite for Sustainable and Resilient Concrete Infrastructure","252,989","01-04-2018","31-12-2020","Visualise"
"EP/R513568/1","RCUK Catapult Researchers in Residence award (High Value Manufacturing NCC)- Robust Processing of Composite Materials for Right-First-Time Manufacture","50,000","15-02-2018","14-02-2021","Visualise"
"EP/R513581/2","RCUK Catapult Researchers in Residence award (HVM WMG) - Validated structural prepreg preforming simulation tools for automotive composite structures","39,996","01-11-2018","31-01-2021","Visualise"
"EP/S001506/1","Nanocomposite materials for sensing in next-generation minimally-invasive medical devices","582,276","25-06-2018","11-08-2022","Visualise"
"EP/S004688/1","Vertically Aligned Ferromagnetic-fibre Reinforced (VAFeR) Films for Enhanced Damage Tolerant Composites","169,548","01-10-2018","31-01-2021","Visualise"
"EP/S009213/1","The integration of photovoltaic devices with carbon-fibre composites","900,923","14-05-2019","13-05-2022","Visualise"
"EP/S016996/1","Investigation of fine-scale flows in composites processing","938,436","01-04-2019","31-03-2022","Visualise"
"EP/S017038/1","Certification for Design - Reshaping the Testing Pyramid","6,924,663","01-08-2019","31-07-2024","Visualise"
"EP/S018034/1","Future Electrical Machines Manufacturing Hub","10,306,217","01-04-2019","31-03-2026","Visualise"
"EP/S018220/1","Investigation of fine-scale flows in composites processing","38,657","01-03-2019","28-02-2022","Visualise"
"EP/S018352/1","Green Recycling And re-manufacturing of Carbon fibre composites for a circular Economy (GRACE)","784,270","01-04-2019","31-03-2022","Visualise"
"EP/S019367/1","The Royce: Capitalising on the investment","1,006,681","01-11-2018","31-10-2021","Visualise"
"EP/S020357/1","An EPSRC National Research Facility to facilitate Data Science in the Physical Sciences: The Physical Sciences Data science Service (PSDS)","2,996,067","11-01-2019","10-01-2024","Visualise"
"EP/S021434/1","High resolution, cryogenic analytical and transfer scanning electron microscope (HR-CAT-SEM)","1,564,542","01-04-2019","31-03-2024","Visualise"
"EP/S021663/1","A LEAP 5000 XS for the UK National Atom Probe Facility","2,914,083","01-02-2019","31-01-2021","Visualise"
"EP/S021728/1","EPSRC Centre for Doctoral Training in Composites Science, Engineering and Manufacturing","6,390,341","01-10-2019","31-03-2028","Visualise"
"EP/S022848/1","EPSRC Centre for Doctoral Training in Modelling of Heterogeneous Systems","5,752,474","01-04-2019","30-09-2027","Visualise"
"EP/S023879/1","EPSRC Centre for Doctoral Training in Future Ultrasonic Engineering","6,063,037","01-07-2019","31-12-2027","Visualise"
"EP/S030719/1","Van der Waals Heterostructures of 2D Materials","1,572,966","01-09-2019","31-08-2023","Visualise"
"EP/T000074/1","AEGIS (Advanced EnerGy-Absorption polymer for Impact-resistant Smart composites)","173,765","01-11-2019","31-07-2021","Visualise"
"EP/T000368/1","Mechanistic Understanding of the Damage and Fracture in Ceramic-Matrix Composites under Extreme Conditions","277,790","01-04-2020","31-03-2023","Visualise"
"EP/T001631/1","Reactors and Reproducibility: Advancing Electrochemistry for Organic Synthesis","372,708","01-10-2019","30-09-2022","Visualise"
"EP/T006250/1","The Future is Remanufacturing: Composites for Life","448,363","01-01-2020","31-12-2022","Visualise"
"EP/T006390/1","An X-ray Micro-Computed Tomography Facility with in-situ/in operando testing.","1,175,201","01-12-2019","30-11-2022","Visualise"
"EP/T006412/1","Integrated atomic force and confocal fluorescence lifetime imaging microscope with fibre-coupled infrared detector for materials research","817,064","01-12-2019","31-03-2022","Visualise"
"EP/T006420/1","High-Volume Composites Manufacturing Cell with Digital Twinning Capability","454,736","01-12-2019","31-05-2021","Visualise"
"EP/T011653/1","Next Generation Fibre-Reinforced Composites: a Full Scale Redesign for Compression","6,205,244","01-07-2020","30-06-2025","Visualise"
"EP/T012218/1","ECCS - EPSRC Development of uniform, low power, high density resistive memory by vertical interface and defect design","384,242","01-03-2020","28-02-2023","Visualise"
