"GRN","Title","Value(£)","Start","End",""
"EP/L015099/1","EPSRC Centre for Doctoral Training in Industrial Functional Coatings: COATED2","2,613,845","18-05-2015","31-03-2023","Visualise"
"EP/L015277/1","EPSRC Centre for Doctoral Training in the Advanced Characterisation of Materials","4,227,196","01-05-2014","31-10-2022","Visualise"
"EP/L015552/1","EPSRC Centre for Doctoral Training in Computational Methods for Materials Science","4,521,213","01-04-2014","30-09-2022","Visualise"
"EP/L015579/1","EPSRC Centre for Doctoral Training in Theory and Simulation of Materials","4,356,843","01-04-2014","30-09-2022","Visualise"
"EP/L015862/1","EPSRC Centre for Doctoral Training in Molecular Modelling and Materials Science","3,841,563","01-04-2014","30-09-2022","Visualise"
"EP/L015978/1","EPSRC Centre for Doctoral Training in Sustainable and Functional Nano","4,547,139","01-04-2014","30-09-2022","Visualise"
"EP/L016648/1","EPSRC Centre for Doctoral Training in Functional Materials: The BCFN","4,554,508","01-04-2014","30-09-2023","Visualise"
"EP/L016702/1","EPSRC Centre for Doctoral Training in Plastic Electronic Materials","4,145,262","01-04-2014","30-09-2022","Visualise"
"EP/L022907/1","Enabling breakthrough energy materials with advanced microscopy and modelling","846,008","01-07-2014","30-06-2026","Visualise"
"EP/M005143/1","Control of spin and coherence in electronic excitations in organic and hybrid organic/inorganic semiconductor structures","5,125,274","01-01-2015","31-08-2020","Visualise"
"EP/M009521/1","Enabling next generation lithium batteries","6,799,833","21-10-2015","20-10-2021","Visualise"
"EP/M022900/1","A National Thin-Film Cluster Facility for Advanced Functional Materials","460,998","26-08-2015","25-02-2021","Visualise"
"EP/N004884/1","Integration of Computation and Experiment for Accelerated Materials Discovery","6,650,587","01-09-2015","28-02-2021","Visualise"
"EP/N024303/1","Fundamental developments of lithium-oxygen and lithium-sulphur batteries by using redox mediators","868,532","01-10-2016","30-09-2021","Visualise"
"EP/N026411/1","Engineering energetic barriers to bimolecular recombination in polymer/fullerene solar cells","984,957","01-06-2016","31-05-2021","Visualise"
"EP/N033329/1","Cation-Controlled Gating for Selective Gas Adsorption over Adaptable Zeolites","382,957","01-11-2016","31-10-2020","Visualise"
"EP/N035437/1","ADEPT - Advanced Devices by ElectroPlaTing","6,331,952","20-07-2016","19-07-2021","Visualise"
