"GRN","Title","Value(£)","Start","End",""
"EP/L015099/1","EPSRC Centre for Doctoral Training in Industrial Functional Coatings: COATED2","2,613,845","18-05-2015","31-03-2023","Visualise"
"EP/L016206/1","EPSRC Centre for Doctoral Training in Innovative Metal Processing IMPaCT","3,127,491","01-04-2014","30-09-2022","Visualise"
"EP/L016273/1","EPSRC Centre for Doctoral Training in Advanced Metallic Systems - Challenges in Future Metals Manufacturing","3,485,038","01-04-2014","30-09-2022","Visualise"
"EP/L01680X/1","EPSRC Centre for Doctoral Training in Materials for Demanding Environments","4,291,452","01-05-2014","31-10-2022","Visualise"
"EP/L017466/1","Brunel University - Equipment Account","3,855,000","20-01-2014","19-01-2024","Visualise"
"EP/M022668/1","CCP on Computational Magnetism","203,010","01-05-2015","30-04-2021","Visualise"
"EP/N007239/1","Dislocation based modelling of deformation and fracture in real engineering alloys","668,052","01-11-2015","31-10-2020","Visualise"
"EP/N007638/1","Future Liquid Metal Engineering Hub","10,138,665","01-11-2015","31-10-2022","Visualise"
"EP/N011368/1","Uncovering Fundamental Mechanisms to Enable Sustainable Steel Manufacturing","1,160,080","01-04-2016","31-03-2021","Visualise"
"EP/P003591/1","Linking Microstructure to Neutron Irradiation Defects in Advanced Manufacture of Steels","490,055","01-12-2016","30-11-2020","Visualise"
"EP/P005101/1","Linking Microstructure to Neutron Irradiation Defects in Advanced Manufacture of Steels","665,030","01-12-2016","30-11-2020","Visualise"
"EP/P005640/1","Linking Microstructure to Neutron Irradiation Defects in Advanced Manufacture of Steels","401,198","01-12-2016","30-11-2020","Visualise"
"EP/P006566/1","MAPP: EPSRC Future Manufacturing Hub in Manufacture using Advanced Powder Processes","10,315,413","01-10-2016","30-09-2023","Visualise"
"EP/P01206X/1","ASSURE 2 - Advanced Steel Shaping Using Reduced Energy","752,408","01-01-2017","31-12-2020","Visualise"
"EP/P020755/1","Rapid Product Development through Process Innovation","900,955","20-03-2017","19-09-2021","Visualise"
"EP/P027210/1","Real-time In-line Microstructural Engineering (RIME)","493,728","01-07-2017","31-12-2020","Visualise"
"EP/P027237/1","Real-time In-line Microstructural Engineering (RIME)","511,339","01-07-2017","31-12-2020","Visualise"
"EP/P027318/1","Reactive Metal Jet Fusion Printing","737,247","01-07-2017","31-12-2020","Visualise"
"EP/P029914/1","High Five: Resolution, Sensitivity, in operando Control, Ultra High Vacuum and Ion Sectioning in a Single Instrument","1,802,539","13-09-2017","12-09-2020","Visualise"
"EP/R001715/1","LightForm: Embedding Materials Engineering in Manufacturing with Light Alloys","4,827,337","19-10-2017","18-10-2022","Visualise"
"EP/R002134/1","Reducing the Threat to Public Safety:  Improved metallic object characterisation, location and detection","321,798","01-01-2018","31-12-2020","Visualise"
"EP/R002177/1","Reducing the Threat to Public Safety: Improved metallic object characterisation, location and detection","255,622","01-01-2018","31-12-2020","Visualise"
"EP/R002274/1","Reducing the Threat to Public Safety:  Improved metallic object characterisation, location and detection","71,320","01-01-2018","31-12-2020","Visualise"
"EP/R005974/1","Defect dynamics in energy materials","816,591","01-04-2018","31-03-2023","Visualise"
"EP/R00661X/1","Sir Henry Royce Institute - recurrent grant","31,477,552","01-04-2016","31-03-2021","Visualise"
"EP/R009392/1","Understanding the mechanisms controlling low potential stress corrosion cracking in nuclear reactors","1,412,712","01-12-2017","31-05-2021","Visualise"
"EP/R011001/1","Upscaling environment-friendly cavitation melt treatment (UltraMelt #2)","329,613","01-04-2018","31-08-2021","Visualise"
"EP/R011044/1","Upscaling environment-friendly cavitation melt treatment (UltraMelt2)","261,433","30-03-2018","30-09-2021","Visualise"
"EP/R011095/1","Upscaling environment-friendly cavitation melt treatment (UltraMelt2)","397,618","30-03-2018","30-09-2021","Visualise"
"EP/R011168/1","Investigation on Sustainable Refractory Systems for Investment Casting Manufacturing of Titanium Alloys","450,149","01-01-2018","30-06-2021","Visualise"
"EP/R018863/1","High Reliability Interconnects: New Methodologies for Lead-free Solders","1,299,714","01-07-2018","30-06-2021","Visualise"
"EP/R019207/1","High reliability Interconnects: New Methodologies for Lead-free Solders","105,910","01-07-2018","30-06-2021","Visualise"
"EP/R020140/1","Critical Elements and Materials Network (CrEAM)","297,621","01-05-2018","30-04-2021","Visualise"
"EP/R021694/1","3D in-situ based methodology for optimizing the mechanical performance of selective laser melted aluminium alloys","100,870","01-07-2018","31-08-2020","Visualise"
"EP/R025355/1","FINESSE NanoBio (Fabrication and Imaging of Neon-Etched Structures and Surfaces for Engineering, Nanoscience and Biotechnology)","2,427,240","19-02-2018","30-09-2020","Visualise"
"EP/R025770/1","York: Transforming Research-Oriented Software Engineering","810,261","01-04-2018","31-03-2023","Visualise"
"EP/R027218/1","New Wire Additive Manufacturing (NEWAM)","5,886,209","25-06-2018","24-06-2023","Visualise"
"EP/R029431/1","HIGH END COMPUTING MATERIALS CHEMISTRY CONSORTIUM","489,316","01-11-2018","31-10-2022","Visualise"
"EP/R034478/1","Integrated study of damage after overloads in single crystals","231,090","01-09-2018","31-08-2020","Visualise"
"EP/R041768/1","Renaissance of alloys: nanocrystalline bimetals","223,099","01-04-2018","30-09-2020","Visualise"
"EP/R513544/1","RCUK Catapult Researchers in Residence award (HVM Nuclear AMRC) - Optimisation of Toughness in Electron Beam Welds in Nuclear Pressure Vessel Steels","50,000","06-04-2018","06-09-2020","Visualise"
"EP/S000828/1","From Industry 3.0 to Industry 4.0: Additive Manufacturability","388,202","29-06-2018","01-01-2020","Visualise"
