"GRN","Title","Value(£)","Start","End",""
"EP/L016044/1","EPSRC and MRC Centre for Doctoral Training in Systems Approaches to Biomedical Science","3,554,745","06-10-2014","05-04-2023","Visualise"
"EP/N017846/1","The Parameter Optimisation Problem: Addressing a Key Challenge in Computational Systems Biology","599,739","04-07-2016","03-08-2020","Visualise"
"EP/N018869/1","Accelerating Scientific Discovery with Accelerated Computing","721,298","01-03-2016","28-02-2021","Visualise"
"EP/N020774/1","Machine Learning for Patient-Specific, Predictive Healthcare Technologies via Intelligent Electronic Health Records","1,009,768","01-06-2016","31-05-2022","Visualise"
"EP/N031962/1","Synthetic Portabolomics: Leading the way at the crossroads of the Digital and the Bio Economies","4,353,851","12-05-2016","31-03-2022","Visualise"
"EP/R018391/1","IRC Next Steps Plus: Ultra-Sensitive Enhanced NanoSensing of Anti-Microbial Resistance (u-Sense).","1,388,114","01-10-2018","31-08-2022","Visualise"
"EP/R018634/1","Closed-Loop Data Science for Complex, Computationally- and Data-Intensive Analytics","3,055,465","01-05-2018","30-04-2022","Visualise"
"EP/R022534/1","New Industrial Systems: Optimising Me Manufacturing Systems","1,520,745","01-02-2018","30-09-2020","Visualise"
"EP/R022925/1","ACTION on cancer","901,730","01-04-2018","30-04-2020","Visualise"
"EP/R022941/1","ACTION on Cancer","476,570","07-11-2018","06-11-2022","Visualise"
"EP/R025460/1","A Research Software Engineering Hub for Computational Research","639,259","01-02-2018","31-01-2023","Visualise"
"EP/R029407/1","The UK High-End Computing Consortium for Biomolecular Simulation","321,432","01-02-2019","31-01-2023","Visualise"
"EP/R034915/1","A semi-autonomous robot synthetic biologist for industrial biodesign and manufacturing","884,199","01-09-2018","31-08-2021","Visualise"
"EP/S00128X/1","Automatic disease detection and monitoring in calves","609,617","01-06-2018","31-05-2021","Visualise"
"EP/S001301/1","Quantitative Systems Biology Tools to Design Microbiome-Derived Products","463,712","01-06-2018","31-05-2021","Visualise"
"EP/S001352/1","New bioinformatics tools for novel fungicide target discovery","513,579","29-06-2018","28-06-2021","Visualise"
"EP/S001360/2","CoED: Deep reinforcement learning for improving research productivity in the life science sector.","229,690","30-09-2019","29-06-2021","Visualise"
"EP/S001433/1","Innovation Fellowship: Computational modelling of cryopreservation of biological tissue","502,399","29-06-2018","28-06-2021","Visualise"
"EP/S001549/1","A Low-Cost Batteryless Wireless Dosage Sensor for Implantable Drug Delivery","583,239","25-06-2018","24-06-2021","Visualise"
"EP/S001921/1","An intelligent approach to the automatic characterisation and design of synthetic promoters in mammalian cells","633,926","29-06-2018","28-06-2021","Visualise"
"EP/S005692/1","Novel techniques for stochastic modelling of time-dependent multivariate relationships with application to primary visual cortex","294,447","01-03-2019","28-02-2022","Visualise"
"EP/S022856/1","EPSRC Centre for Doctoral Training in BioDesign Engineering","7,001,623","01-04-2019","30-09-2027","Visualise"
"EP/S02347X/1","'EPSRC and SFI Centre for Doctoral Training in Engineered Tissues for Discovery, Industry and Medicine","7,013,579","01-07-2019","31-12-2027","Visualise"
"EP/S024344/1","BioProton: Biologically relevant dose for Proton Therapy Planning","1,394,633","01-04-2019","31-03-2024","Visualise"
"EP/S032843/1","Neuromorphic memristive circuits to simulate inhibitory and excitatory dynamics of neuron networks: from physiological similarities to deep learning","965,568","06-01-2020","05-01-2023","Visualise"
"EP/T000937/1","Microfluidic Molecular Communications: Design, Theory, and Manufacture","269,351","01-07-2020","30-06-2022","Visualise"
"EP/T017856/1","EPSRC Hub for Quantitative Modelling in Healthcare","1,231,618","01-09-2020","31-08-2024","Visualise"
"EP/T024593/1","Smart Environments Research Facility","99,665","10-01-2020","09-07-2021","Visualise"
"NS/A000050/1","Wellcome EPSRC Centre for Surgical and Interventional Sciences","6,565,143","01-05-2017","30-04-2022","Visualise"
