"GRN","Title","Value(£)","Start","End",""
"EP/L015722/1","EPSRC Centre for Doctoral Training in Theory and Modelling in Chemical Sciences.","4,456,567","01-04-2014","30-09-2022","Visualise"
"EP/M022129/1","Reactive Scattering Dynamics at the Gas-Liquid Interface: Bridging the Gap between the Gas-Phase and Solution","290,841","30-06-2015","29-06-2021","Visualise"
"EP/M022544/2","CCPQ: Quantum Dynamics in Atomic, Molecular and Optical Physics","89,023","01-07-2016","18-02-2021","Visualise"
"EP/N004647/1","Low temperature ion-radical collisions","599,796","15-02-2016","21-02-2021","Visualise"
"EP/N004930/1","Low temperature Ion - Radical Collisions","480,887","01-12-2015","30-11-2020","Visualise"
"EP/N032950/1","Trapping Ion-Molecule Reaction Intermediates","948,331","01-09-2016","31-08-2021","Visualise"
"EP/N033647/1","Structural Dynamics in LOV Domain Photosensor Proteins","352,953","01-10-2016","13-07-2020","Visualise"
"EP/N035003/1","Intrinsically Multifunctional Energy Landscapes: A New Paradigm for Molecular Design","1,000,753","01-10-2016","30-09-2021","Visualise"
"EP/P001459/1","Dynamical Chemical Processes","1,277,251","05-08-2016","04-08-2021","Visualise"
"EP/P001548/1","Portable femtosecond pump-probe facility (PORTO) for dynamic structural science","465,600","25-11-2016","24-11-2020","Visualise"
"EP/P005187/1","HyperStore: Singlet states and supercritical fluids for storage and transport of hyperpolarised spin order","557,185","01-12-2016","30-11-2020","Visualise"
"EP/P007449/1","Dynamics, Control and Energy Transfer at Terahertz Frequencies.","1,025,292","01-01-2017","31-12-2021","Visualise"
"EP/P008275/1","Understanding Collisions of Ultracold Polar Molecules","902,633","20-02-2017","19-08-2020","Visualise"
"EP/P021123/1","Chemistry and Mathematics in Phase Space (CHAMPS)","4,124,280","01-04-2017","31-03-2023","Visualise"
"EP/P026079/1","Shining light on cold atmospheric plasmas and their interaction with liquids","246,852","01-07-2017","30-12-2020","Visualise"
"EP/P026621/1","Shining light on cold atmospheric plasmas and their interaction with liquids","449,702","01-07-2017","31-10-2020","Visualise"
"EP/P031684/1","Enabling Next Generation Additive Manufacturing","5,852,466","01-10-2017","30-09-2022","Visualise"
"EP/R002584/1","Controlling membrane translocation for artificial signal transduction","356,411","01-01-2018","31-12-2020","Visualise"
"EP/R005397/1","Controlling Membrane Translocation for Artificial Signal Transduction","405,953","01-01-2018","31-12-2020","Visualise"
"EP/R006431/1","Positron bound states and annihilation in polyatomic molecules","345,646","10-10-2017","09-10-2020","Visualise"
"EP/R010447/1","Photoelectron interferometry as a structural and dynamical probe","391,613","01-06-2018","31-12-2021","Visualise"
"EP/R010609/1","Photoelectron interferometry as a structural and dynamical probe","310,055","01-06-2018","31-05-2021","Visualise"
