"GRN","Title","Value(£)","Start","End",""
"EP/L016753/1","EPSRC Centre for Doctoral Training in Intelligent Sensing and Measurement","4,891,249","01-05-2014","31-10-2022","Visualise"
"EP/M022595/1","CCP on Computational Electronic Structure of Condensed Matter (CCP9)","208,388","26-11-2015","25-11-2020","Visualise"
"EP/M022617/1","CCP5: The Computer Simulation of Condensed Phases","391,562","01-04-2015","30-09-2021","Visualise"
"EP/N01331X/1","Putting the Squeeze on Molecule-Based Magnets","1,319,365","01-01-2016","31-03-2021","Visualise"
"EP/N019067/1","Software Engineering - In Support of the Exascale","712,184","01-04-2016","31-03-2021","Visualise"
"EP/N035437/1","ADEPT - Advanced Devices by ElectroPlaTing","6,331,952","20-07-2016","19-07-2021","Visualise"
"EP/P001394/1","Ti:Sapphire Regenerative Amplified Laser System for ultrafast, high-field terahertz photonics","451,951","01-08-2016","31-07-2021","Visualise"
"EP/P001548/1","Portable femtosecond pump-probe facility (PORTO) for dynamic structural science","465,600","25-11-2016","24-11-2020","Visualise"
"EP/V001078/1","Materials And Molecular Modelling Exascale Design And Development Working Group","30,639","01-05-2020","31-07-2021","Visualise"
"EP/V001205/1","Materials and Molecular Modelling Exascale Design and Development Working Group","50,782","01-04-2020","30-06-2021","Visualise"
"EP/V001256/1","Materials and Molecular Modelling (MMM) Exascale Design and Development Working Group (DDWG)","53,357","01-04-2020","30-06-2021","Visualise"
"EP/V001507/1","Materials and Molecular Modelling Exascale Design and Development Working Group","88,230","01-05-2020","31-07-2021","Visualise"
