"GRN","Title","Value(£)","Start","End",""
"EP/J500847/1","Industrial Doctoral Centre for Offshore Renewable Energy (IDCORE)","6,499,212","01-07-2011","31-03-2022","Visualise"
"EP/L016303/1","EPSRC Centre for Doctoral Training in Renewable Energy Marine Structures (REMS)","3,984,294","01-05-2014","31-10-2022","Visualise"
"EP/L016680/1","EPSRC Centre for Doctoral Training in Wind and Marine Energy Systems","3,893,966","01-04-2014","30-09-2022","Visualise"
"EP/P009743/1","HOME-Offshore: Holistic Operation and Maintenance for Energy from Offshore Wind Farms","3,048,221","11-04-2017","10-11-2020","Visualise"
"EP/P029434/1","Developing performance-based design for foundation systems of WIND turbines in AFRICA (WindAfrica)","1,270,180","01-05-2017","30-04-2021","Visualise"
"EP/R003645/1","Structural Health Monitoring of Systems of Systems: Populations, Networks and Communities","881,028","01-07-2018","30-06-2021","Visualise"
"EP/R004900/1","A New Partnership in Offshore Wind","3,921,689","01-11-2017","31-10-2022","Visualise"
"EP/R007470/1","FENGBO-WIND - Farming the ENvironment into the Grid: Big data in Offshore Wind","812,415","03-07-2017","02-01-2021","Visualise"
"EP/R007497/2","Investigation of the novel challenges of an integrated offshore multi-purpose platform","574,901","01-08-2018","02-01-2021","Visualise"
"EP/R007519/1","Resilient Integrated-Coupled FOW platform design methodology (ResIn)","811,976","03-07-2017","02-01-2021","Visualise"
"EP/R007632/1","Extreme wind and wave loads on the next generation of offshore wind turbines","797,824","03-07-2017","02-01-2021","Visualise"
"EP/R007756/1","Modelling, Optimisation and Design of Conversion for Offshore Renewable Energy (UK-China MOD-CORE)","809,108","01-07-2017","02-01-2021","Visualise"
"EP/R023484/1","System-wide Probabilistic Energy Forecasting","312,934","29-06-2018","28-06-2021","Visualise"
"EP/R512163/1","RCUK Catapult Researchers in Residence award (Offshore Renewable Energy) - Siemens Wind Power converter rig set up","50,000","30-11-2017","30-09-2020","Visualise"
"EP/S000747/1","Supergen ORE hub 2018","9,097,481","01-07-2018","16-04-2023","Visualise"
"EP/S017224/1","Development and demonstration of methods and tools for large scale wind turbine pitch bearing condition assessment (DemoBearing)","169,123","29-05-2019","28-02-2021","Visualise"
"EP/S023763/1","EPSRC and NERC Centre for Doctoral Training in Offshore Wind Energy and the Environment","5,769,997","01-04-2019","30-09-2027","Visualise"
"EP/S023801/1","EPSRC Centre for Doctoral Training in Wind and Marine Energy Systems and Structures","6,423,728","01-04-2019","30-09-2027","Visualise"
"EP/S023836/1","EPSRC Centre for Doctoral Training in Renewable Energy Northeast Universities (ReNU)","5,476,501","01-04-2019","30-09-2027","Visualise"
"EP/S023933/1","EPSRC and NERC Centre for Doctoral Training in Offshore Renewable Energy (IDCORE)","6,118,277","01-10-2019","31-03-2028","Visualise"
"EP/S515711/1","RCUK Catapult Researchers in Residence (Offshore Renewable Energy) - Wind farm Operation & Maintenance software development by using machine learning","50,000","28-09-2018","27-09-2020","Visualise"
"EP/S515723/1","RCUK Catapult Researchers in Residence award (Offshore Renewable Energy) - Floating platforms for offshore wind","50,000","01-11-2018","31-10-2020","Visualise"
"EP/T004150/1","Extreme Loading on FOWT under Complex Environmental Conditions","353,156","15-10-2019","14-10-2022","Visualise"
"EP/T004177/1","Extreme Loading on Floating Offshore Wind Turbines (FOWTs) under Complex Environmental Conditions","389,691","01-04-2020","31-03-2023","Visualise"
"EP/T00424X/1","Extreme Loading on FOWT under Complex Environmental Conditions","332,158","01-04-2020","31-03-2023","Visualise"
"EP/T004274/1","Extreme Loading on Floating Offshore Wind Turbines (FOWTs) under Complex Environmental Conditions","44,275","02-03-2020","01-03-2023","Visualise"
"EP/T004339/1","Extreme Loading on Floating Offshore Wind Turbines (FOWTs) under Complex Environmental Conditions","63,391","26-11-2019","25-11-2022","Visualise"
"EP/T025611/1","Queen's University Belfast Core Equipment Call 2019","150,000","13-02-2020","12-08-2021","Visualise"
"EP/T026162/1","ESCROWS: Electrolytic-Free Single-Stage Converter for Reliable Offshore Wind Systems","274,792","01-05-2020","31-08-2022","Visualise"
